Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.1.1-0-10.0.2.4-0-1-1777729418771,10.0.1.1,0,10.0.2.4,0,1,1777729418.7717881,0.014857053756713867,2,0,196,0,98,98,98,0.0,0.0,0.0,0.0,0.0,13192.386808954505,134.61619192810718,0.014857053756713867,0.0,0.014857053756713867,0.014857053756713867,0.014857053756713867,0.014857053756713867,0.0,0.014857053756713867,0.014857053756713867,0.0,0.0,0.0,0.0,0.0,0,0,0,0,68,0,134.61619192810718,0.0,98,98,98,0.0,0,0,0,0,0,0,0,0,0,0.0,98,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,196,0,0,0,0,2,98,0.014857053756713867,0.0,0.014857053756713867,0.014857053756713867,0.0,0.0,0.0,0.0,benign
10.0.1.2-0-10.0.2.3-0-1-1777729418772,10.0.1.2,0,10.0.2.3,0,1,1777729418.7725868,0.014879941940307617,2,0,196,0,98,98,98,0.0,0.0,0.0,0.0,0.0,13172.094406434762,134.4091265962731,0.014879941940307617,0.0,0.014879941940307617,0.014879941940307617,0.014879941940307617,0.014879941940307617,0.0,0.014879941940307617,0.014879941940307617,0.0,0.0,0.0,0.0,0.0,0,0,0,0,68,0,134.4091265962731,0.0,98,98,98,0.0,0,0,0,0,0,0,0,0,0,0.0,98,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,196,0,0,0,0,2,98,0.014879941940307617,0.0,0.014879941940307617,0.014879941940307617,0.0,0.0,0.0,0.0,benign
10.0.1.2-49168-10.0.2.3-80-6-1777729418773,10.0.1.2,49168,10.0.2.3,80,6,1777729418.7739985,0.018795013427734375,2,0,148,0,74,74,74,0.0,0.0,0.0,0.0,0.0,7874.429064339354,106.41120357215344,0.018795013427734375,0.0,0.018795013427734375,0.018795013427734375,0.018795013427734375,0.018795013427734375,0.0,0.018795013427734375,0.018795013427734375,0.0,0.0,0.0,0.0,0.0,0,0,0,0,148,0,106.41120357215344,0.0,74,74,74,0.0,0,0,2,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,148,0,0,0,0,0,74,0.018795013427734375,0.0,0.018795013427734375,0.018795013427734375,0.0,0.0,0.0,0.0,benign
10.0.3.5-36996-10.0.2.4-5201-6-1777729418777,10.0.3.5,36996,10.0.2.4,5201,6,1777729418.777447,0.02202582359313965,2,0,148,0,74,74,74,0.0,0.0,0.0,0.0,0.0,6719.385514650964,90.80250695474275,0.02202582359313965,0.0,0.02202582359313965,0.02202582359313965,0.02202582359313965,0.02202582359313965,0.0,0.02202582359313965,0.02202582359313965,0.0,0.0,0.0,0.0,0.0,0,0,0,0,148,0,90.80250695474275,0.0,74,74,74,0.0,0,0,2,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,148,0,0,0,0,0,74,0.02202582359313965,0.0,0.02202582359313965,0.02202582359313965,0.0,0.0,0.0,0.0,benign
10.0.1.1-36708-10.0.2.3-80-6-1777729418800,10.0.1.1,36708,10.0.2.3,80,6,1777729418.8005075,0.019495248794555664,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,11387.389939952795,153.88364783719993,0.009747624397277832,0.000867009162902832,0.010614633560180664,0.008880615234375,0.019495248794555664,0.009747624397277832,0.000867009162902832,0.010614633560180664,0.008880615234375,0.0,0.0,0.0,0.0,0.0,0,0,0,0,222,0,153.88364783719993,0.0,74,74,74,0.0,0,0,3,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,222,0,0,0,0,0,74,0.019495248794555664,0.0,0.019495248794555664,0.019495248794555664,0.0,0.0,0.0,0.0,benign
10.0.3.6-55144-10.0.2.4-8080-6-1777729418801,10.0.3.6,55144,10.0.2.4,8080,6,1777729418.8015463,0.0190122127532959,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,11676.70501486024,157.79331101162484,0.00950610637664795,0.0011087656021118164,0.010614871978759766,0.008397340774536133,0.0190122127532959,0.00950610637664795,0.0011087656021118164,0.010614871978759766,0.008397340774536133,0.0,0.0,0.0,0.0,0.0,0,0,0,0,222,0,157.79331101162484,0.0,74,74,74,0.0,0,0,3,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,222,0,0,0,0,0,74,0.0190122127532959,0.0,0.0190122127532959,0.0190122127532959,0.0,0.0,0.0,0.0,benign
10.0.1.2-46598-10.0.2.4-5201-6-1777729418805,10.0.1.2,46598,10.0.2.4,5201,6,1777729418.8052497,1e-06,1,0,74,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,74,0,1000000.0,0.0,74,74,74,0.0,0.0,0,1,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,74,0,0,0,0,0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
10.0.1.1-48102-10.0.2.4-5201-6-1777729418806,10.0.1.1,48102,10.0.2.4,5201,6,1777729418.8060906,1e-06,1,0,74,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,74,0,1000000.0,0.0,74,74,74,0.0,0.0,0,1,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,74,0,0,0,0,0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
10.0.1.1-0-10.0.2.4-0-1-1777729418806,10.0.1.1,0,10.0.2.4,0,1,1777729418.8069007,1e-06,1,0,98,0,98,98,98,0.0,0.0,0.0,0.0,0.0,98000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0,1000000.0,0.0,98,98,98,0.0,0.0,0,0,0,0,0,0,0,0,0.0,98,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,98,0,0,0,0,1,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
10.0.1.2-49168-10.0.2.3-80-6-1777729418807,10.0.1.2,49168,10.0.2.3,80,6,1777729418.8077624,1e-06,1,0,74,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,74,0,1000000.0,0.0,74,74,74,0.0,0.0,0,1,0,0,0,0,0,0,0.0,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,74,0,0,0,0,0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
